Field 1,url,title,content,group
11,https://www.douban.com/group/topic/132551155/,散评上海译文出版社近年的下滑。,"源自同组另一篇讨论（https://www.douban.com/group/topic/132524677/），但不限于装帧设计上。

不是非常严谨，包含大量出于个人口味的评判，但确实是我这几年的观察总结。

A.个人觉得这版...",买书如山倒 读书如抽丝小组
12,https://www.douban.com/group/topic/132622080/,伊藤润二 ·《地狱星》,"地球在地狱星的舔动下高速自转，人造建筑分崩离析、山丘磨平、飞沙走石、湖海干涸、人群在天上飞。

——知乎@乃木坂少年

分享来自知友乃木坂少年的BDO式回答：

如果哪位友邻看过其他BDO...",BDO迷恋患者症候群小组
13,https://www.douban.com/group/topic/132628630/,手机里的极简术！,"我手机极简是有原因的：完全因为内存不够且又不想换手机。不过这么简单的用下来，一点也不觉得不方便。唔，满意！

整理了一下在用APP如下：

第一行常规项：日历，天气，设置，照片。

第二...",极简生活小组
14,https://www.douban.com/group/topic/132632415/,新手如何在3个月内减肥20斤并且增肌的,"一、懵懂期

2018年5月，大三下学期。大学生活过到此处，经历一些小波折小坎。冷静下来发现自己好像收获了很多，也好像什么都没有收获。5-1假期去潮汕旅行，思来想去，决定好好爱自己，开始...",科学健身小组
15,https://www.douban.com/group/topic/132616106/,这位骑手真的好厉害,"不知道我什么时候能吃上拉面呢

现在已经7点了…还是3968.9km

楼里回复的各位都是人才哈哈哈

电话打不通 我已经申请退款了～

谢谢大家关心啦～",哈哈哈哈哈哈哈哈哈哈哈小组
16,https://www.douban.com/group/topic/132618271/,嫁外地吃的方面真的很难接受,老公家广东肇庆下小县城，过年拜神要鸡肉，猪肉，过年吃就是白切鸡，清汤鸡，肥肉腐竹，青菜。三餐有白粥，老公他一家都喜欢把碗里饭吃到一半再加一半白粥进去一起吃。不吃鱼，鸭，不吃辣，...,生活组小组
17,https://www.douban.com/group/topic/130907138/,你们跟风买过的最成功or最失败的口红是什么（已更新）,"2月7号更新

新买的兰蔻196，买之前：我倒要看看你这个小蹄子能有多好看。买之后：哇哦好看！（破音）。比较鲜艳的橘色，显白，缺点是冬天不太好配衣服，感觉这支适合春夏秋，鲜活。

还有我...",生活组小组
18,https://www.douban.com/group/topic/132066236/,有哪些运动做了特别有效果？,"半年胖了十斤 梨型身材

每天至少坚持一项运动





Ps：美丽芭蕾  HIIT 周六野 小红帽 insanity 跳绳 呼啦圈 揉腿 泡沫轴  平板支撑 keep 仰卧起坐 极限运动.........",生活组小组
19,https://www.douban.com/group/topic/132296123/,收集一波关于人工智能的电影,"我先列出一部分，我做成豆列了。
关于人工智能的电影
1.    1968年《2001太空漫游》
科幻电影的一大里程碑，库布里克的神作。
2.    1979年-2017年《异形1》《异形4》
  前传2部《异形：契约...",佳片推荐 （只迷电影不装逼）小组
20,https://www.douban.com/group/topic/132264849/,陶瓷学习记录,"学校有给学生当作业余爱好的陶瓷课，和一个挺完整的工作室。断断续续学了几个学期了，发点自己做的东西。

陶瓷课上做的第一样东西，在石膏模里用三角形拼出来的杯子，钴蓝颜料上的色。

一...",手工爱好者小组
21,https://www.douban.com/group/topic/132299099/,写了一份南京探店攻略分享给大家！,"来南京四年啦！没事就喜欢探店😋 整理出一些美食店安利给大家

 - - 早上发了一波微博 然鹅几乎木有人看 扎心了

希望生活组可以有人看到 嘿嘿 如果能给大家种草个一两家店 我就hin高兴啦...",生活组小组
22,https://www.douban.com/group/topic/132287846/,上海看展｜关于死亡 请不要视而不见,"赶在最后一天闭馆一小时冲进去观展，看完百感交集，思绪万千，这是个带有追悼性质的展，因此离不开生死的探讨。

关于死亡，中国人总是习惯性闪烁其词，但是生老病死谁又逃得过。

当看着女...",不约展 不自拍 的看展人小组小组
23,https://www.douban.com/group/topic/132270500/,【诗词双飞燕】诗友们一起来玩～,"游戏规则:

根据题目对出诗句，可用正飞法，也可用反飞法。

正飞法：回答的上句要和题目的上句里有任意一个字相同，下句要和题目的下句里有任意一字相同。

反飞法：回答的下句和题目的上句有重字，上句和题目的下句有重字...",古诗词世界小组
24,https://www.douban.com/group/topic/132282259/,关于减肥，或许能给你提供一点小帮助 在文末有更新,18年做的最有价值的事情就是甩了20多斤肥肉了。我从小到大就没瘦过，小时候也没有什么女孩子要瘦瘦的才好看这种观念，每天过得都无忧无虑，自然而然食欲就很好，除了吃到撑的一日三餐，零食...,生活组小组
25,https://www.douban.com/group/topic/132263673/,极简也要享美食（聊聊我的饮食观念和近期无限回购以及所触之雷）,提到极简，很多人把概念局限于衣橱和家居之物，其实饮食也有极简理念，we are what we eat，曾经吃下去的食物成就如今的你。不把食物当回事，暴饮暴食，追求味蕾刺激，咽下太多身体不需要的...,极简生活小组
26,https://www.douban.com/group/topic/132268741/,大家过年回家有什么要做的小事吗！,"过年好朋友们，有什么过年回家可以做的小事分享一下吗！！

还有两个小时放假了开开心心，好不容易回趟家不想虚度鸭！！！

我现在想到的是：

1、给爸妈、所有亲人拍照片，拍全家福

2、拍...",每月养成一个好习惯小组
27,https://www.douban.com/group/topic/132255105/,应该是健身期间吃得最快乐的人之一了，1月便当统计,今天是2月的第一天，也是猪年前最后一个带便当的工作日，交作业咯,科学健身小组
28,https://www.douban.com/group/topic/132263011/,给大家分享一下雅思口语8+和写作7+经验,"2.7更新

楼主这几天回国了没仔细看评论，这里放一下Simon博客的地址，主要是大作文的

https://ielts-simon.com/ielts-help-and-english-pr/ielts-writing-task-2/

———————————...",生活组小组
29,https://www.douban.com/group/topic/132260124/,[博格立方体]：太阳附近上演“现实版”的《星际迷航》,许多影视/动画/插画作品中都充斥着“巨大沉默漂浮物”的身影，如《降临》中的耳朵形飞船、《2001：太空漫游》中的黑色独石、《瑞克与莫蒂》中的巨头教、还有Nicholas Stathopoulos的数字图画...,BDO迷恋患者症候群小组
